ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-22,174.58243362,68.53039494749126,274.85098338365316,174.58243362,174.58243362,-0.8968056586639856,-0.8968056586639856,-0.8968056586639856,25.401240299260483,25.401240299260483,25.401240299260483,-26.298045957924465,-26.298045957924465,-26.298045957924465,0.0,0.0,0.0,173.685627961336
2024-07-23,174.41327952758243,58.486944501362544,263.69544741709535,174.41327952758243,174.41327952758243,-12.21020372762652,-12.21020372762652,-12.21020372762652,14.820470459682841,14.820470459682841,14.820470459682841,-27.030674187309362,-27.030674187309362,-27.030674187309362,0.0,0.0,0.0,162.2030757999559
2024-07-24,174.24412543516485,51.528178860996135,247.48013062526618,174.24412543516485,174.24412543516485,-23.434255301697444,-23.434255301697444,-23.434255301697444,4.117967888567289,4.117967888567289,4.117967888567289,-27.552223190264733,-27.552223190264733,-27.552223190264733,0.0,0.0,0.0,150.8098701334674
2024-07-25,174.07497134274726,66.94193463542884,261.62632300866693,174.07497134274726,174.07497134274726,-6.440663836710156,-6.440663836710156,-6.440663836710156,21.419017757196073,21.419017757196073,21.419017757196073,-27.85968159390623,-27.85968159390623,-27.85968159390623,0.0,0.0,0.0,167.63430750603712
2024-07-26,173.90581725032965,55.09615955781803,250.54648083312992,173.90581725032965,173.90581725032965,-24.101064683260216,-24.101064683260216,-24.101064683260216,3.855459621302305,3.855459621302305,3.855459621302305,-27.95652430456252,-27.95652430456252,-27.95652430456252,0.0,0.0,0.0,149.80475256706944
2024-07-27,173.7366631579121,0.5424016333117601,201.3412414739232,173.7366631579121,173.7366631579121,-73.7862139799085,-73.7862139799085,-73.7862139799085,-45.93341723902888,-45.93341723902888,-45.93341723902888,-27.85279674087963,-27.85279674087963,-27.85279674087963,0.0,0.0,0.0,99.9504491780036
2024-07-28,173.5675090654945,19.248991162524145,217.0531383045101,173.5675090654945,173.5675090654945,-51.24575077613627,-51.24575077613627,-51.24575077613627,-23.68073878677187,-23.68073878677187,-23.68073878677187,-27.565011989364393,-27.565011989364393,-27.565011989364393,0.0,0.0,0.0,122.32175828935823
2024-07-29,173.39835497307692,69.60704885346077,269.1893548172562,173.39835497307692,173.39835497307692,-1.7146163624909705,-1.7146163624909705,-1.7146163624909705,25.40124029926908,25.40124029926908,25.40124029926908,-27.115856661760052,-27.115856661760052,-27.115856661760052,0.0,0.0,0.0,171.68373861058595
2024-07-30,173.22920088065933,54.090364872746456,256.4596840056575,173.22920088065933,173.22920088065933,-11.713236392188382,-11.713236392188382,-11.713236392188382,14.820470459660255,14.820470459660255,14.820470459660255,-26.53370685184864,-26.53370685184864,-26.53370685184864,0.0,0.0,0.0,161.51596448847096
2024-07-31,173.06004678824178,49.17010678556178,252.7285162899416,173.06004678824178,173.06004678824178,-21.73399346905807,-21.73399346905807,-21.73399346905807,4.117967888533472,4.117967888533472,4.117967888533472,-25.851961357591545,-25.851961357591545,-25.851961357591545,0.0,0.0,0.0,151.3260533191837
2024-08-01,172.8908926958242,70.26687103596754,256.78846939271375,172.8908926958242,172.8908926958242,-3.6891873214088338,-3.6891873214088338,-3.6891873214088338,21.41901775720637,21.41901775720637,21.41901775720637,-25.1082050786152,-25.1082050786152,-25.1082050786152,0.0,0.0,0.0,169.20170537441535
2024-08-02,172.72173860340658,52.38950420038908,252.19370626274187,172.72173860340658,172.72173860340658,-20.487761418817232,-20.487761418817232,-20.487761418817232,3.8554596212575483,3.8554596212575483,3.8554596212575483,-24.343221040074777,-24.343221040074777,-24.343221040074777,0.0,0.0,0.0,152.23397718458935
2024-08-03,172.552584510989,8.978581514475373,204.05235278560502,172.552584510989,172.552584510989,-69.53329189444091,-69.53329189444091,-69.53329189444091,-45.9334172390527,-45.9334172390527,-45.9334172390527,-23.5998746553882,-23.5998746553882,-23.5998746553882,0.0,0.0,0.0,103.01929261654809
2024-08-04,172.38563025528296,20.68675224607487,227.61539114396572,172.38563025528296,172.38563025528296,-46.6026372394705,-46.6026372394705,-46.6026372394705,-23.680738786733798,-23.680738786733798,-23.680738786733798,-22.92189845273671,-22.92189845273671,-22.92189845273671,0.0,0.0,0.0,125.78299301581245
2024-08-05,172.2186759995769,66.78029698445472,277.46408444605953,172.2186759995769,172.2186759995769,3.048630903131588,3.048630903131588,3.048630903131588,25.40124029927768,25.40124029927768,25.40124029927768,-22.352609396146097,-22.352609396146097,-22.352609396146097,0.0,0.0,0.0,175.2673069027085
2024-08-06,172.05172174387084,66.89809961131107,262.94212082971615,172.05172174387084,172.05172174387084,-7.1131235332639156,-7.1131235332639156,-7.1131235332639156,14.820470459646073,14.820470459646073,14.820470459646073,-21.933593992909987,-21.933593992909987,-21.933593992909987,0.0,0.0,0.0,164.93859821060693
2024-08-07,171.8847674881648,58.738545518087754,255.28712279693792,171.8847674881648,171.8847674881648,-17.58543058923525,-17.58543058923525,-17.58543058923525,4.117967888542122,4.117967888542122,4.117967888542122,-21.703398477777373,-21.703398477777373,-21.703398477777373,0.0,0.0,0.0,154.29933689892957
2024-08-08,171.71781323245878,62.024233558794286,259.9314830199308,171.71781323245878,171.71781323245878,-0.27724465411941346,-0.27724465411941346,-0.27724465411941346,21.419017757214714,21.419017757214714,21.419017757214714,-21.69626241133413,-21.69626241133413,-21.69626241133413,0.0,0.0,0.0,171.44056857833937
2024-08-09,171.55085897675275,60.5356317610064,256.04434343370247,171.55085897675275,171.55085897675275,-18.08547434221253,-18.08547434221253,-18.08547434221253,3.8554596212245458,3.8554596212245458,3.8554596212245458,-21.94093396343708,-21.94093396343708,-21.94093396343708,0.0,0.0,0.0,153.46538463454021
2024-08-10,171.3839047210467,5.461189386249305,206.35265866309146,171.3839047210467,171.3839047210467,-68.39302118653475,-68.39302118653475,-68.39302118653475,-45.93341723906692,-45.93341723906692,-45.93341723906692,-22.45960394746783,-22.45960394746783,-22.45960394746783,0.0,0.0,0.0,102.99088353451194
2024-08-11,171.21695046534063,24.728698506129017,222.58735239750465,171.21695046534063,171.21695046534063,-46.947732115829396,-46.947732115829396,-46.947732115829396,-23.6807387869198,-23.6807387869198,-23.6807387869198,-23.2669933289096,-23.2669933289096,-23.2669933289096,0.0,0.0,0.0,124.26921834951123
2024-08-12,171.0499962096346,73.03355422446664,270.34457324288104,171.0499962096346,171.0499962096346,1.031614801275505,1.031614801275505,1.031614801275505,25.40124029922509,25.40124029922509,25.40124029922509,-24.36962549794959,-24.36962549794959,-24.36962549794959,0.0,0.0,0.0,172.0816110109101
2024-08-13,170.88304195392854,66.35935753531811,257.1055721492683,170.88304195392854,170.88304195392854,-10.944839680140964,-10.944839680140964,-10.944839680140964,14.820470459615068,14.820470459615068,14.820470459615068,-25.765310139756032,-25.765310139756032,-25.765310139756032,0.0,0.0,0.0,159.93820227378757
