Код клиента,RFM_Segment
156525883.0,Лояльные
8914513.0,Лояльные
155509855.0,Лояльные
6180387.0,Чемпионы
4609438.0,Чемпионы
8608532.0,Риск ухода
1375599.0,Чемпионы
7025350.0,Лояльные
9100589.0,Чемпионы
156029677.0,Риск ухода
8044524.0,Чемпионы
155205530.0,Риск ухода
7805443.0,Лояльные
156433282.0,Риск ухода
156476611.0,Лояльные
155287309.0,Чемпионы
156704933.0,Чемпионы
6013816.0,Лояльные
156050953.0,Риск ухода
6811823.0,Лояльные
5459331.0,Лояльные
156539787.0,Риск ухода
5476797.0,Риск ухода
9930049.0,Чемпионы
155462849.0,Лояльные
156488551.0,Риск ухода
156060487.0,Лояльные
8959205.0,Лояльные
156967773.0,Чемпионы
5742490.0,Лояльные
156481626.0,Риск ухода
9696861.0,Чемпионы
155783979.0,Лояльные
7289244.0,Лояльные
8773201.0,Чемпионы
156194348.0,Риск ухода
7680899.0,Чемпионы
156009184.0,Риск ухода
3039555.0,Лояльные
7289262.0,Лояльные
9026661.0,Лояльные
155240459.0,Лояльные
6119101.0,Чемпионы
6897583.0,Лояльные
156752969.0,Лояльные
4890504.0,Лояльные
8362205.0,Чемпионы
6635292.0,Лояльные
7821658.0,Лояльные
157379139.0,Чемпионы
155926216.0,Риск ухода
6593087.0,Лояльные
5653298.0,Лояльные
156434883.0,Риск ухода
9021729.0,Лояльные
8208015.0,Риск ухода
155870294.0,Риск ухода
7479882.0,Лояльные
156149136.0,Лояльные
155276276.0,Риск ухода
155762172.0,Лояльные
5001985.0,Лояльные
7720173.0,Лояльные
1377866.0,Лояльные
156886175.0,Лояльные
155583534.0,Лояльные
156077948.0,Риск ухода
7466075.0,Лояльные
157351610.0,Лояльные
10336792.0,Лояльные
4096610.0,Лояльные
8090775.0,Риск ухода
4093299.0,Лояльные
155198342.0,Риск ухода
156114160.0,Риск ухода
7132554.0,Лояльные
155875231.0,Лояльные
1615353.0,Риск ухода
8078693.0,Чемпионы
5598565.0,Риск ухода
6281795.0,Лояльные
8377852.0,Лояльные
6826003.0,Чемпионы
6460859.0,Лояльные
9775964.0,Лояльные
155601492.0,Риск ухода
156041238.0,Лояльные
156309658.0,Риск ухода
156578822.0,Лояльные
7431367.0,Риск ухода
155809066.0,Лояльные
5519429.0,Лояльные
9150348.0,Лояльные
5381952.0,Лояльные
155754744.0,Лояльные
8134839.0,Лояльные
6618148.0,Риск ухода
5185211.0,Лояльные
6009249.0,Риск ухода
8847132.0,Лояльные
8236391.0,Риск ухода
7240839.0,Лояльные
10306722.0,Риск ухода
8317275.0,Лояльные
156736542.0,Лояльные
1558820.0,Риск ухода
155408835.0,Лояльные
5976678.0,Риск ухода
155089937.0,Риск ухода
6196528.0,Риск ухода
5925093.0,Лояльные
5398866.0,Риск ухода
9920037.0,Лояльные
4586083.0,Риск ухода
7355887.0,Лояльные
10157876.0,Риск ухода
5460768.0,Лояльные
157434149.0,Лояльные
155346036.0,Лояльные
156330746.0,Риск ухода
156468543.0,Риск ухода
6729751.0,Лояльные
7917726.0,Чемпионы
1378309.0,Риск ухода
156316270.0,Риск ухода
157375557.0,Лояльные
156400355.0,Риск ухода
156682407.0,Риск ухода
6932478.0,Риск ухода
7311721.0,Риск ухода
156052219.0,Риск ухода
5520723.0,Риск ухода
7237201.0,Риск ухода
1424137.0,Лояльные
2434411.0,Риск ухода
8332694.0,Риск ухода
156287133.0,Риск ухода
9796263.0,Лояльные
6560090.0,Риск ухода
4675582.0,Лояльные
2075002.0,Риск ухода
156672824.0,Риск ухода
156041291.0,Риск ухода
155856571.0,Риск ухода
156436438.0,Лояльные
7589880.0,Риск ухода
8404031.0,Риск ухода
8649486.0,Лояльные
10277492.0,Риск ухода
157353989.0,Лояльные
156140706.0,Риск ухода
6021218.0,Лояльные
7780665.0,Риск ухода
9678220.0,Риск ухода
8559986.0,Риск ухода
9802195.0,Лояльные
157249549.0,Лояльные
155160351.0,Лояльные
6667348.0,Риск ухода
156064994.0,Риск ухода
155002032.0,Лояльные
8869441.0,Риск ухода
10047108.0,Лояльные
6046431.0,Риск ухода
157404333.0,Лояльные
4968537.0,Риск ухода
9442287.0,Лояльные
156521683.0,Риск ухода
9468675.0,Риск ухода
157342702.0,Лояльные
156717336.0,Риск ухода
155427088.0,Риск ухода
8997520.0,Лояльные
7114666.0,Риск ухода
8657459.0,Риск ухода
4936156.0,Лояльные
155002016.0,Риск ухода
155097905.0,Риск ухода
155090253.0,Риск ухода
8210314.0,Лояльные
156995048.0,Лояльные
157141527.0,Лояльные
155331818.0,Риск ухода
3461908.0,Лояльные
10348996.0,Риск ухода
7037520.0,Лояльные
156953119.0,Риск ухода
8217927.0,Лояльные
8385485.0,Риск ухода
3508118.0,Риск ухода
5515493.0,Лояльные
7585380.0,Лояльные
8110231.0,Риск ухода
156162741.0,Риск ухода
5767643.0,Лояльные
