ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-10,183.7754356846211,112.28743891509313,335.6525349567992,183.7754356846211,183.7754356846211,36.93075998055673,36.93075998055673,36.93075998055673,36.93075998055673,36.93075998055673,36.93075998055673,0.0,0.0,0.0,220.70619566517783
2025-03-11,184.0172455452272,97.01397849291682,310.3467977795933,184.0172455452272,184.0172455452272,11.864933408410046,11.864933408410046,11.864933408410046,11.864933408410046,11.864933408410046,11.864933408410046,0.0,0.0,0.0,195.88217895363726
2025-03-12,184.25905540583332,80.55702738694353,300.32615809586997,184.25905540583332,184.25905540583332,2.701763833881545,2.701763833881545,2.701763833881545,2.701763833881545,2.701763833881545,2.701763833881545,0.0,0.0,0.0,186.96081923971488
2025-03-13,184.50086526643943,90.29811745067313,305.33026570350444,184.50086526643943,184.50086526643943,14.951331833983856,14.951331833983856,14.951331833983856,14.951331833983856,14.951331833983856,14.951331833983856,0.0,0.0,0.0,199.4521971004233
2025-03-14,184.74267512704557,81.89445108827469,305.9971569429713,184.74267512704557,184.74267512704557,9.488720609653997,9.488720609653997,9.488720609653997,9.488720609653997,9.488720609653997,9.488720609653997,0.0,0.0,0.0,194.23139573669957
2025-03-15,184.98448498765168,25.82796353581765,253.39933999692823,184.98448498765168,184.98448498765168,-48.716243679245146,-48.716243679245146,-48.716243679245146,-48.716243679245146,-48.716243679245146,-48.716243679245146,0.0,0.0,0.0,136.26824130840654
2025-03-16,185.2262948482578,48.45253329504744,265.85595249514785,185.2262948482578,185.2262948482578,-27.221265987050632,-27.221265987050632,-27.221265987050632,-27.221265987050632,-27.221265987050632,-27.221265987050632,0.0,0.0,0.0,158.00502886120717
2025-03-17,185.4681047088639,108.43934064214257,328.5035865960114,185.4681047088639,185.4681047088639,36.930759980622476,36.930759980622476,36.930759980622476,36.930759980622476,36.930759980622476,36.930759980622476,0.0,0.0,0.0,222.39886468948637
2025-03-18,185.70991456947002,85.75624105113046,296.45508935902114,185.70991456947002,185.70991456947002,11.86493340839517,11.86493340839517,11.86493340839517,11.86493340839517,11.86493340839517,11.86493340839517,0.0,0.0,0.0,197.57484797786518
2025-03-19,185.95172443007613,78.37582978648204,311.10140091862377,185.95172443007613,185.95172443007613,2.7017638338862953,2.7017638338862953,2.7017638338862953,2.7017638338862953,2.7017638338862953,2.7017638338862953,0.0,0.0,0.0,188.65348826396243
2025-03-20,186.19353429068224,91.34751155068858,312.5689578809179,186.19353429068224,186.19353429068224,14.951331833943176,14.951331833943176,14.951331833943176,14.951331833943176,14.951331833943176,14.951331833943176,0.0,0.0,0.0,201.14486612462542
2025-03-21,186.4353441512884,86.20079558912416,309.9521859378081,186.4353441512884,186.4353441512884,9.488720609647666,9.488720609647666,9.488720609647666,9.488720609647666,9.488720609647666,9.488720609647666,0.0,0.0,0.0,195.92406476093606
2025-03-22,186.67715401189452,19.830983473143423,241.10927755238006,186.67715401189452,186.67715401189452,-48.716243679254134,-48.716243679254134,-48.716243679254134,-48.716243679254134,-48.716243679254134,-48.716243679254134,0.0,0.0,0.0,137.96091033264037
2025-03-23,186.91896387250063,49.890086074051865,272.19269002501983,186.91896387250063,186.91896387250063,-27.221265986966312,-27.221265986966312,-27.221265986966312,-27.221265986966312,-27.221265986966312,-27.221265986966312,0.0,0.0,0.0,159.69769788553432
2025-03-24,187.16077373310677,110.88203920797795,334.2560423067619,187.16077373310677,187.16077373310677,36.930759980613736,36.930759980613736,36.930759980613736,36.930759980613736,36.930759980613736,36.930759980613736,0.0,0.0,0.0,224.0915337137205
2025-03-25,187.40258359371288,92.27388664157895,304.14142787959804,187.40258359371288,187.40258359371288,11.86493340836174,11.86493340836174,11.86493340836174,11.86493340836174,11.86493340836174,11.86493340836174,0.0,0.0,0.0,199.2675170020746
2025-03-26,187.644393454319,86.43991695056839,304.9757000971193,187.644393454319,187.644393454319,2.701763833860096,2.701763833860096,2.701763833860096,2.701763833860096,2.701763833860096,2.701763833860096,0.0,0.0,0.0,190.34615728817909
2025-03-27,187.8862033149251,94.13271345468215,312.85647748461844,187.8862033149251,187.8862033149251,14.951331833964918,14.951331833964918,14.951331833964918,14.951331833964918,14.951331833964918,14.951331833964918,0.0,0.0,0.0,202.83753514889003
2025-03-28,188.1280131755312,87.39268086429318,307.26762727459993,188.1280131755312,188.1280131755312,9.488720609557324,9.488720609557324,9.488720609557324,9.488720609557324,9.488720609557324,9.488720609557324,0.0,0.0,0.0,197.61673378508854
2025-03-29,188.36982303613732,31.161249211124233,250.85449098304204,188.36982303613732,188.36982303613732,-48.7162436793134,-48.7162436793134,-48.7162436793134,-48.7162436793134,-48.7162436793134,-48.7162436793134,0.0,0.0,0.0,139.6535793568239
2025-03-30,188.61163289674343,48.06333314432836,275.32414051575813,188.61163289674343,188.61163289674343,-27.221265986930547,-27.221265986930547,-27.221265986930547,-27.221265986930547,-27.221265986930547,-27.221265986930547,0.0,0.0,0.0,161.39036690981288
2025-03-31,188.8534427573496,120.23623385793489,347.4857667356354,188.8534427573496,188.8534427573496,36.930759980531946,36.930759980531946,36.930759980531946,36.930759980531946,36.930759980531946,36.930759980531946,0.0,0.0,0.0,225.78420273788154
